	SM57_PROX_20_BASS_REFLEX_CON_LANA		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1573.242188	-6.37	-9.05	0.94
1576.171875	-6.34	-9.19	0.95
1579.101563	-6.33	-9.30	0.92
1582.031250	-6.33	-9.39	0.94
1584.960938	-6.33	-9.46	0.88
1587.890625	-6.34	-9.53	0.92
1590.820313	-6.34	-9.58	0.93
1593.750000	-6.35	-9.66	0.92
1596.679688	-6.35	-9.75	0.92
1599.609375	-6.36	-9.86	0.91
1602.539063	-6.35	-9.99	0.95
1605.468750	-6.35	-10.11	0.93
1608.398438	-6.34	-10.21	0.93
1611.328125	-6.34	-10.30	0.91
1614.257813	-6.34	-10.37	0.96
1617.187500	-6.35	-10.45	0.97
1620.117188	-6.37	-10.55	0.94
1623.046875	-6.38	-10.68	0.95
1625.976563	-6.40	-10.83	0.98
1628.906250	-6.43	-10.96	0.96
1631.835938	-6.47	-11.08	0.96
1634.765625	-6.51	-11.17	0.94
1637.695313	-6.56	-11.23	0.93
1640.625000	-6.60	-11.23	0.84
1643.554688	-6.63	-11.23	0.93
1646.484375	-6.65	-11.24	0.93
1649.414063	-6.67	-11.28	0.84
1652.343750	-6.69	-11.38	0.95
1655.273438	-6.70	-11.44	0.91
1658.203125	-6.72	-11.47	0.95
1661.132813	-6.73	-11.46	0.86
1664.062500	-6.74	-11.48	0.93
1666.992188	-6.75	-11.52	0.95
1669.921875	-6.76	-11.60	0.96
1672.851563	-6.78	-11.71	0.98
1675.781250	-6.79	-11.84	0.96
1678.710938	-6.80	-11.98	0.91
1681.640625	-6.81	-12.14	0.86
1684.570313	-6.81	-12.32	0.93
1687.500000	-6.82	-12.55	0.94
1690.429688	-6.82	-12.77	0.83
1693.359375	-6.83	-12.96	0.87
1696.289063	-6.85	-13.16	0.88
1699.218750	-6.86	-13.36	0.90
1702.148438	-6.89	-13.59	0.96
1705.078125	-6.91	-13.80	0.96
1708.007813	-6.95	-13.97	0.95
1710.937500	-6.99	-14.13	0.93
1713.867188	-7.04	-14.27	0.93
1716.796875	-7.08	-14.38	0.95
1719.726563	-7.13	-14.46	0.93
1722.656250	-7.16	-14.54	0.93
1725.585938	-7.20	-14.64	0.95
1728.515625	-7.23	-14.73	0.92
1731.445313	-7.25	-14.83	0.93
1734.375000	-7.28	-14.90	0.92
1737.304688	-7.30	-14.93	0.95
1740.234375	-7.32	-14.98	0.88
