	SM57_PROX_20		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1684.570313	-3.53	-65.25	1.00
1687.500000	-3.55	-65.35	0.99
1690.429688	-3.57	-65.49	0.99
1693.359375	-3.60	-65.66	0.99
1696.289063	-3.63	-65.84	0.99
1699.218750	-3.65	-66.01	0.99
1702.148438	-3.66	-66.19	0.99
1705.078125	-3.67	-66.36	0.99
1708.007813	-3.68	-66.54	1.00
1710.937500	-3.69	-66.73	1.00
1713.867188	-3.70	-66.94	1.00
1716.796875	-3.71	-67.20	1.00
1719.726563	-3.73	-67.49	1.00
1722.656250	-3.76	-67.80	0.99
1725.585938	-3.78	-68.12	0.99
1728.515625	-3.82	-68.40	0.99
1731.445313	-3.85	-68.64	0.98
1734.375000	-3.90	-68.88	0.99
1737.304688	-3.94	-69.08	0.97
1740.234375	-3.99	-69.34	0.96
1743.164063	-4.04	-69.62	0.93
1746.093750	-4.09	-69.92	0.91
1749.023438	-4.13	-70.22	0.93
1751.953125	-4.18	-70.53	0.94
1754.882813	-4.23	-70.83	0.95
1757.812500	-4.27	-71.15	0.96
1760.742188	-4.32	-71.50	0.99
1763.671875	-4.37	-71.85	0.97
1766.601563	-4.41	-72.20	0.97
1769.531250	-4.46	-72.57	0.98
1772.460938	-4.50	-72.94	0.97
1775.390625	-4.54	-73.33	0.97
1778.320313	-4.59	-73.74	0.95
1781.250000	-4.64	-74.15	0.89
1784.179688	-4.69	-74.60	0.94
1787.109375	-4.73	-75.05	0.96
1790.039063	-4.78	-75.51	0.94
1792.968750	-4.82	-75.98	0.93
1795.898438	-4.87	-76.43	0.92
1798.828125	-4.91	-76.85	0.87
1801.757813	-4.96	-77.24	0.89
1804.687500	-5.00	-77.61	0.93
1807.617188	-5.04	-77.98	0.90
1810.546875	-5.09	-78.33	0.85
1813.476563	-5.13	-78.65	0.89
1816.406250	-5.18	-78.93	0.90
1819.335938	-5.23	-79.24	0.76
1822.265625	-5.29	-79.57	0.69
1825.195313	-5.35	-79.86	0.84
1828.125000	-5.40	-80.08	0.62
1831.054688	-5.46	-80.26	0.81
1833.984375	-5.52	-80.39	0.78
1836.914063	-5.58	-80.50	0.87
1839.843750	-5.63	-80.57	0.89
1842.773438	-5.67	-80.60	0.74
1845.703125	-5.71	-80.69	0.92
1848.632813	-5.75	-80.85	0.87
1851.562500	-5.78	-81.10	0.89
1854.492188	-5.81	-81.38	0.89
1857.421875	-5.83	-81.67	0.80
1860.351563	-5.83	-81.93	0.76
1863.281250	-5.83	-82.16	0.82
1866.210938	-5.84	-82.38	0.93
1869.140625	-5.85	-82.62	0.98
1872.070313	-5.86	-82.85	0.97
1875.000000	-5.87	-83.08	0.98
1877.929688	-5.87	-83.26	0.96
1880.859375	-5.87	-83.41	0.92
1883.789063	-5.87	-83.55	0.91
1886.718750	-5.87	-83.66	0.93
1889.648438	-5.86	-83.73	0.92
1892.578125	-5.86	-83.76	0.96
1895.507813	-5.85	-83.78	0.98
1898.437500	-5.84	-83.76	0.98
1901.367188	-5.83	-83.70	0.98
1904.296875	-5.83	-83.60	0.90
1907.226563	-5.83	-83.49	0.95
1910.156250	-5.84	-83.35	0.97
1913.085938	-5.85	-83.21	0.99
1916.015625	-5.86	-83.06	0.95
1918.945313	-5.87	-82.91	0.90
1921.875000	-5.88	-82.82	0.92
1924.804688	-5.89	-82.82	0.96
1927.734375	-5.90	-82.88	0.97
1930.664063	-5.92	-82.96	0.98
1933.593750	-5.93	-83.06	0.98
1936.523438	-5.94	-83.18	0.97
1939.453125	-5.95	-83.31	0.96
1942.382813	-5.96	-83.47	0.99
1945.312500	-5.97	-83.58	0.97
1948.242188	-5.97	-83.70	0.96
1951.171875	-5.98	-83.82	0.97
1954.101563	-5.98	-83.94	0.97
1957.031250	-5.98	-84.07	0.99
1959.960938	-5.98	-84.20	0.92
1962.890625	-5.99	-84.38	0.94
1965.820313	-5.99	-84.62	0.96
1968.750000	-6.01	-84.84	0.94
1971.679688	-6.02	-85.04	0.75
1974.609375	-6.03	-85.26	0.77
1977.539063	-6.03	-85.53	0.77
1980.468750	-6.03	-85.80	0.84
1983.398438	-6.03	-86.08	0.87
1986.328125	-6.03	-86.36	0.90
1989.257813	-6.03	-86.66	0.95
1992.187500	-6.03	-86.98	0.96
1995.117188	-6.03	-87.31	0.94
1998.046875	-6.03	-87.63	0.97
2000.976563	-6.04	-87.93	0.91
2003.906250	-6.05	-88.20	0.83
2006.835938	-6.06	-88.47	0.84
2009.765625	-6.07	-88.75	0.85
2012.695313	-6.08	-89.01	0.86
2015.625000	-6.09	-89.27	0.94
2018.554688	-6.10	-89.51	0.83
2021.484375	-6.10	-89.75	0.89
2024.414063	-6.11	-90.00	0.97
2027.343750	-6.11	-90.26	0.95
2030.273438	-6.12	-90.56	0.97
2033.203125	-6.12	-90.89	0.85
2036.132813	-6.12	-91.23	0.87
2039.062500	-6.13	-91.56	0.83
2041.992188	-6.13	-91.88	0.82
2044.921875	-6.14	-92.21	0.86
2047.851563	-6.15	-92.56	0.95
2050.781250	-6.16	-92.89	0.90
2053.710938	-6.17	-93.24	0.90
2056.640625	-6.18	-93.59	0.73
2059.570313	-6.19	-93.92	0.74
2062.500000	-6.20	-94.23	0.89
2065.429688	-6.20	-94.50	0.94
2068.359375	-6.20	-94.74	0.91
2071.289063	-6.21	-94.95	0.89
2074.218750	-6.21	-95.11	0.93
2077.148438	-6.22	-95.23	0.95
2080.078125	-6.23	-95.36	0.96
2083.007813	-6.24	-95.53	0.95
2085.937500	-6.26	-95.71	0.97
2088.867188	-6.28	-95.91	0.98
2091.796875	-6.30	-96.08	0.97
2094.726563	-6.32	-96.22	0.95
2097.656250	-6.34	-96.34	0.96
2100.585938	-6.35	-96.43	0.96
2103.515625	-6.37	-96.52	0.94
