	SM57_TF_0_0		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
2039.062500	-1.15	-26.41	1.00
2041.992188	-1.14	-26.40	1.00
2044.921875	-1.13	-26.40	1.00
2047.851563	-1.13	-26.42	1.00
2050.781250	-1.12	-26.46	1.00
2053.710938	-1.12	-26.51	1.00
2056.640625	-1.11	-26.55	1.00
2059.570313	-1.11	-26.59	1.00
2062.500000	-1.10	-26.63	1.00
2065.429688	-1.10	-26.69	1.00
2068.359375	-1.09	-26.77	1.00
2071.289063	-1.08	-26.87	0.99
2074.218750	-1.08	-26.98	1.00
2077.148438	-1.07	-27.10	1.00
2080.078125	-1.06	-27.24	0.99
2083.007813	-1.06	-27.40	1.00
2085.937500	-1.05	-27.59	1.00
2088.867188	-1.05	-27.79	1.00
2091.796875	-1.05	-27.99	1.00
2094.726563	-1.04	-28.18	1.00
2097.656250	-1.04	-28.37	0.99
2100.585938	-1.04	-28.55	0.99
