	SM57_TF		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1678.710938	-27.92	-7.17	1.00
1681.640625	-27.90	-6.86	1.00
1684.570313	-27.88	-6.57	1.00
1687.500000	-27.86	-6.31	1.00
1690.429688	-27.84	-6.10	1.00
1693.359375	-27.81	-5.93	1.00
1696.289063	-27.79	-5.80	1.00
1699.218750	-27.76	-5.69	1.00
1702.148438	-27.74	-5.60	1.00
1705.078125	-27.72	-5.54	1.00
1708.007813	-27.70	-5.48	1.00
1710.937500	-27.68	-5.43	1.00
1713.867188	-27.67	-5.38	1.00
1716.796875	-27.65	-5.33	1.00
1719.726563	-27.63	-5.28	1.00
1722.656250	-27.62	-5.25	1.00
1725.585938	-27.60	-5.23	1.00
1728.515625	-27.58	-5.23	1.00
1731.445313	-27.56	-5.25	1.00
1734.375000	-27.55	-5.28	1.00
1737.304688	-27.54	-5.33	1.00
1740.234375	-27.53	-5.40	1.00
1743.164063	-27.53	-5.45	1.00
1746.093750	-27.52	-5.50	1.00
1749.023438	-27.52	-5.53	1.00
1751.953125	-27.52	-5.55	1.00
1754.882813	-27.52	-5.55	1.00
1757.812500	-27.53	-5.55	1.00
1760.742188	-27.53	-5.54	1.00
1763.671875	-27.53	-5.52	1.00
1766.601563	-27.53	-5.50	1.00
1769.531250	-27.53	-5.47	1.00
1772.460938	-27.53	-5.44	1.00
1775.390625	-27.53	-5.40	1.00
1778.320313	-27.53	-5.37	1.00
1781.250000	-27.53	-5.33	1.00
1784.179688	-27.53	-5.30	1.00
1787.109375	-27.52	-5.26	1.00
1790.039063	-27.52	-5.22	1.00
1792.968750	-27.52	-5.17	1.00
1795.898438	-27.52	-5.12	1.00
1798.828125	-27.51	-5.06	1.00
1801.757813	-27.51	-5.00	1.00
1804.687500	-27.51	-4.93	1.00
1807.617188	-27.50	-4.85	1.00
1810.546875	-27.49	-4.77	1.00
1813.476563	-27.48	-4.70	1.00
1816.406250	-27.47	-4.62	1.00
1819.335938	-27.45	-4.55	1.00
1822.265625	-27.44	-4.49	1.00
1825.195313	-27.42	-4.44	1.00
1828.125000	-27.40	-4.40	1.00
1831.054688	-27.38	-4.37	1.00
1833.984375	-27.36	-4.36	1.00
1836.914063	-27.34	-4.35	1.00
1839.843750	-27.32	-4.35	1.00
1842.773438	-27.30	-4.36	1.00
1845.703125	-27.28	-4.38	1.00
1848.632813	-27.26	-4.40	1.00
1851.562500	-27.24	-4.42	1.00
1854.492188	-27.22	-4.45	1.00
1857.421875	-27.20	-4.48	1.00
1860.351563	-27.18	-4.51	1.00
1863.281250	-27.16	-4.55	1.00
1866.210938	-27.14	-4.59	1.00
1869.140625	-27.12	-4.63	1.00
1872.070313	-27.09	-4.68	1.00
1875.000000	-27.07	-4.74	1.00
1877.929688	-27.05	-4.82	1.00
1880.859375	-27.02	-4.90	1.00
1883.789063	-27.00	-5.00	1.00
1886.718750	-26.98	-5.11	1.00
1889.648438	-26.96	-5.22	1.00
1892.578125	-26.93	-5.35	1.00
1895.507813	-26.92	-5.48	1.00
1898.437500	-26.90	-5.62	1.00
1901.367188	-26.88	-5.77	1.00
1904.296875	-26.86	-5.92	1.00
1907.226563	-26.85	-6.08	1.00
1910.156250	-26.84	-6.23	1.00
1913.085938	-26.82	-6.39	1.00
1916.015625	-26.81	-6.55	1.00
1918.945313	-26.80	-6.71	1.00
1921.875000	-26.79	-6.87	1.00
1924.804688	-26.78	-7.03	1.00
1927.734375	-26.77	-7.19	1.00
1930.664063	-26.76	-7.36	1.00
1933.593750	-26.76	-7.52	1.00
1936.523438	-26.75	-7.70	1.00
1939.453125	-26.74	-7.87	1.00
1942.382813	-26.73	-8.06	1.00
1945.312500	-26.73	-8.25	1.00
1948.242188	-26.73	-8.45	1.00
1951.171875	-26.73	-8.65	1.00
1954.101563	-26.73	-8.85	1.00
1957.031250	-26.73	-9.06	1.00
1959.960938	-26.73	-9.25	1.00
1962.890625	-26.74	-9.44	1.00
1965.820313	-26.75	-9.62	1.00
1968.750000	-26.75	-9.79	1.00
1971.679688	-26.76	-9.96	1.00
1974.609375	-26.77	-10.13	1.00
1977.539063	-26.77	-10.29	1.00
1980.468750	-26.78	-10.46	1.00
1983.398438	-26.79	-10.63	1.00
1986.328125	-26.80	-10.80	1.00
1989.257813	-26.80	-10.97	1.00
1992.187500	-26.81	-11.14	1.00
1995.117188	-26.83	-11.32	1.00
1998.046875	-26.84	-11.49	1.00
2000.976563	-26.85	-11.66	1.00
2003.906250	-26.87	-11.83	1.00
2006.835938	-26.89	-11.98	1.00
2009.765625	-26.91	-12.13	1.00
2012.695313	-26.93	-12.27	1.00
2015.625000	-26.95	-12.39	1.00
2018.554688	-26.97	-12.51	1.00
2021.484375	-26.99	-12.62	1.00
2024.414063	-27.01	-12.72	1.00
2027.343750	-27.04	-12.81	1.00
2030.273438	-27.06	-12.90	1.00
2033.203125	-27.08	-12.98	1.00
2036.132813	-27.10	-13.05	1.00
2039.062500	-27.12	-13.11	1.00
2041.992188	-27.14	-13.18	1.00
2044.921875	-27.16	-13.24	1.00
2047.851563	-27.18	-13.30	1.00
2050.781250	-27.19	-13.36	1.00
2053.710938	-27.21	-13.42	1.00
2056.640625	-27.23	-13.48	1.00
2059.570313	-27.25	-13.54	1.00
2062.500000	-27.27	-13.61	1.00
2065.429688	-27.28	-13.67	1.00
2068.359375	-27.30	-13.73	1.00
2071.289063	-27.32	-13.79	1.00
2074.218750	-27.34	-13.85	1.00
2077.148438	-27.37	-13.89	1.00
2080.078125	-27.39	-13.93	1.00
2083.007813	-27.41	-13.97	1.00
2085.937500	-27.43	-13.99	1.00
2088.867188	-27.45	-14.02	1.00
2091.796875	-27.47	-14.04	1.00
2094.726563	-27.49	-14.07	1.00
2097.656250	-27.51	-14.09	1.00
2100.585938	-27.53	-14.12	1.00
2103.515625	-27.55	-14.15	1.00
2106.445313	-27.57	-14.18	1.00
2109.375000	-27.59	-14.21	1.00
2112.304688	-27.62	-14.23	1.00
2115.234375	-27.64	-14.24	1.00
2118.164063	-27.67	-14.23	1.00
2121.093750	-27.69	-14.21	1.00
2124.023438	-27.72	-14.17	1.00
2126.953125	-27.74	-14.12	1.00
2129.882813	-27.76	-14.06	1.00
2132.812500	-27.79	-14.00	1.00
