	ECM8000_TF		
Frequency (Hz)	Magnitude (dB)	Phase (degrees)	Coherence
1913.085938	-6.85	-0.56	1.00
1916.015625	-6.85	-0.58	1.00
1918.945313	-6.85	-0.59	1.00
1921.875000	-6.85	-0.60	1.00
1924.804688	-6.86	-0.61	1.00
1927.734375	-6.86	-0.62	1.00
1930.664063	-6.86	-0.61	1.00
1933.593750	-6.86	-0.61	1.00
1936.523438	-6.87	-0.59	1.00
1939.453125	-6.87	-0.57	1.00
1942.382813	-6.88	-0.54	1.00
1945.312500	-6.88	-0.49	1.00
1948.242188	-6.88	-0.44	1.00
1951.171875	-6.89	-0.38	1.00
1954.101563	-6.89	-0.33	1.00
1957.031250	-6.88	-0.27	1.00
1959.960938	-6.88	-0.21	1.00
1962.890625	-6.88	-0.16	1.00
1965.820313	-6.87	-0.11	1.00
1968.750000	-6.86	-0.07	1.00
1971.679688	-6.86	-0.03	1.00
1974.609375	-6.85	-0.00	1.00
1977.539063	-6.84	0.02	1.00
1980.468750	-6.83	0.03	1.00
1983.398438	-6.83	0.04	1.00
1986.328125	-6.82	0.04	1.00
1989.257813	-6.82	0.04	1.00
1992.187500	-6.81	0.04	1.00
1995.117188	-6.81	0.04	1.00
1998.046875	-6.81	0.05	1.00
2000.976563	-6.80	0.06	1.00
2003.906250	-6.80	0.08	1.00
2006.835938	-6.80	0.11	1.00
2009.765625	-6.79	0.13	1.00
2012.695313	-6.79	0.16	1.00
2015.625000	-6.78	0.20	1.00
2018.554688	-6.77	0.23	1.00
2021.484375	-6.76	0.25	1.00
2024.414063	-6.75	0.27	1.00
2027.343750	-6.74	0.28	1.00
2030.273438	-6.73	0.28	1.00
2033.203125	-6.72	0.27	1.00
2036.132813	-6.71	0.26	1.00
2039.062500	-6.70	0.23	1.00
2041.992188	-6.69	0.20	1.00
2044.921875	-6.68	0.16	1.00
2047.851563	-6.67	0.11	1.00
2050.781250	-6.66	0.05	1.00
2053.710938	-6.65	-0.01	1.00
2056.640625	-6.65	-0.08	1.00
2059.570313	-6.64	-0.14	1.00
2062.500000	-6.64	-0.21	1.00
2065.429688	-6.64	-0.27	1.00
2068.359375	-6.64	-0.34	1.00
2071.289063	-6.64	-0.40	1.00
2074.218750	-6.64	-0.46	1.00
2077.148438	-6.64	-0.53	1.00
2080.078125	-6.64	-0.59	1.00
2083.007813	-6.64	-0.65	1.00
2085.937500	-6.65	-0.71	1.00
2088.867188	-6.65	-0.76	1.00
2091.796875	-6.65	-0.82	1.00
2094.726563	-6.66	-0.86	1.00
2097.656250	-6.67	-0.91	1.00
2100.585938	-6.68	-0.94	1.00
2103.515625	-6.69	-0.98	1.00
2106.445313	-6.70	-1.00	1.00
